ID,label,sessions,drives,total_sessions,n_days_after_onboarding,total_navigations_fav1,total_navigations_fav2,driven_km_drives,duration_minutes_drives,activity_days,driving_days,device,km_per_driving_day,percent_sessions_in_last_month,monthly_drives_per_session_ratio
0,retained,243,201,296.7482729,2276,208,0,2628.845068,1985.775061,28,19,Android,138.3602667368421,0.8188758695215307,0.8271604938271605
1,retained,133,107,326.8965962,1225,19,64,8889.77766066,3160.472914,13,11,iPhone,808.1631123272728,0.4068564847295893,0.8045112781954887
2,retained,114,95,135.5229263,2651,0,0,3059.148818,1610.735904,14,8,Android,382.39360225,0.8411860864607084,0.8333333333333334
3,retained,49,40,67.58922127,15,322,7,913.5911231,587.1965423,7,3,iPhone,304.53037436666665,0.7249676661350888,0.8163265306122449
4,retained,84,68,168.2470201,1562,166,5,3950.202008,1219.555924,27,18,Android,219.45566711111113,0.4992659005198037,0.8095238095238095
5,retained,113,103,279.5444373,2637,0,0,901.2386985,439.1013973,15,11,iPhone,81.93079077272728,0.40422911323658806,0.911504424778761
6,retained,3,2,236.7253142,360,185,18,5249.172828,726.5772047,28,23,iPhone,228.22490556521737,0.012672915907360109,0.6666666666666666
7,retained,39,35,176.0728446,2999,0,0,7892.052468,2466.981741,22,20,iPhone,394.60262339999997,0.2214992328237764,0.8974358974358975
8,retained,57,46,183.5320177,424,0,26,2651.709764,1594.342984,25,20,Android,132.58548820000001,0.3105725132558165,0.8070175438596491
9,churned,84,68,244.8021148,2997,72,0,6043.460295,2341.838528,7,3,iPhone,2014.4867649999999,0.3431342906029503,0.8095238095238095
10,retained,23,20,117.2257719,1946,0,36,8554.91444,4668.8217213,9,9,iPhone,950.5460488888889,0.19620258947512206,0.8695652173913043
11,retained,125,100,357.1790311,487,3,7,2284.819767,1034.651333,1,1,iPhone,2284.819767,0.3499645531123118,0.8
12,retained,51,41,109.8818549,2760,64,0,2512.308716,1717.268618,12,12,iPhone,209.35905966666667,0.46413486600142934,0.803921568627451
13,retained,80,64,132.8305064,3154,39,16,8531.24807,4668.8217213,1,0,Android,0.0,0.6022712866808735,0.8
14,churned,72,66,401.3518086,2524,54,24,5922.811202,2227.280393,0,0,Android,0.0,0.17939373501554964,0.9166666666666666
15,retained,23,22,95.2921595,50,193,0,2188.829771,1775.713499,11,10,iPhone,218.8829771,0.24136298432821224,0.9565217391304348
16,retained,30,25,41.53837224,1554,61,19,1213.549279,949.1301246,17,13,Android,93.34994453846154,0.722223774842844,0.8333333333333334
17,churned,243,201,454.34351188399995,88,0,90,3529.33898,2078.426838,11,11,Android,320.84899818181816,0.5348144347953228,0.8271604938271605
18,retained,48,38,259.0657534,2077,131,11,8889.77766066,4668.8217213,10,3,Android,2963.2647452,0.18528114723788883,0.7916666666666666
19,retained,106,98,170.9254705,87,0,6,8566.541401,2534.595126,22,20,iPhone,428.32707005000003,0.620153331682653,0.9245283018867925
20,retained,52,42,144.7141026,2937,306,0,1601.896284,951.8891394,7,7,iPhone,228.84232628571428,0.35932918123212687,0.8076923076923077
21,retained,148,119,168.8281397,501,77,28,2170.296817,551.9648276,21,21,iPhone,103.34746747619047,0.8766311129352566,0.8040540540540541
22,churned,73,60,118.8088122,1607,254,92,2653.436921,400.7073101,16,16,iPhone,165.8398075625,0.6144325378585007,0.821917808219178
23,churned,29,23,33.13702884,2188,338,0,4283.503913,654.5190065,2,2,iPhone,2141.7519565,0.875153899283627,0.7931034482758621
24,retained,3,3,50.32821361,1084,63,23,2274.207173,1650.575799,16,10,Android,227.42071729999998,0.059608712187708426,1.0
25,retained,0,0,139.194969,2731,13,4,5702.339466,4582.737478,6,2,Android,2851.169733,0.0,
26,retained,132,106,160.2585518,112,199,28,4828.974928,3178.144689,13,9,Android,536.5527697777777,0.8236689931201537,0.803030303030303
27,churned,5,5,215.8764605,2465,412,0,925.0304742,490.5346749,16,8,iPhone,115.628809275,0.023161395125801593,1.0
28,retained,64,54,80.76829058,1635,81,0,2723.495224,1546.790177,2,2,iPhone,1361.747612,0.7923901761497452,0.84375
29,retained,57,46,60.0376594,1732,429,95,1443.441103,589.9503158,27,21,Android,68.73529061904762,0.9494041001871568,0.8070175438596491
30,retained,78,66,454.34351188399995,2381,106,21,8889.77766066,4668.8217213,31,26,iPhone,341.9151629076923,0.17166883092195545,0.8461538461538461
31,retained,46,37,98.15654833,2938,372,26,4042.105947,1404.569949,22,17,iPhone,237.77093805882353,0.4686391359784686,0.8043478260869565
32,retained,38,34,62.74575283,1940,313,12,4668.226427,1066.10387,24,20,iPhone,233.41132134999998,0.6056186799281088,0.8947368421052632
33,retained,243,201,454.34351188399995,275,39,9,2578.7202,1703.292389,15,15,iPhone,171.91468,0.5348144347953228,0.8271604938271605
34,retained,126,101,346.3382111,2225,149,0,3666.356368,1446.018362,11,11,iPhone,333.30512436363637,0.3638062332187174,0.8015873015873016
35,retained,156,127,454.34351188399995,101,113,0,1944.771913,646.9535456,18,18,iPhone,108.04288405555556,0.3433376618439109,0.8141025641025641
36,retained,75,60,108.1659311,2329,223,36,2354.623612,809.7421876,4,1,Android,2354.623612,0.6933791373797918,0.8
37,retained,16,14,103.8941155,443,0,5,8786.114497,4668.8217213,19,19,Android,462.4270787894737,0.15400294735653244,0.875
38,retained,95,78,190.9769901,1848,35,28,2314.364451,1317.170917,20,20,iPhone,115.71822255,0.4974421261443894,0.8210526315789474
39,retained,91,91,123.8217255,470,0,86,3423.421216,2355.455086,29,26,iPhone,131.67004676923077,0.7349275713331906,1.0
40,retained,105,91,115.0010192,655,14,11,1822.449032,1197.962657,24,24,Android,75.93537633333334,0.9130353863855147,0.8666666666666667
41,retained,20,17,183.5959214,2601,325,15,3182.697466,1768.326087,23,16,iPhone,198.918591625,0.10893488181813171,0.85
